Unnamed: 0,Unnamed: 1,Unnamed: 2,Waste,"Energy, kJ","Energy, kcal",Nitrogen-to-protein factor,"Nitrogen, total","Protein, videnskabelig",Protein labeling,Carbohydrate by difference,"Carbohydrates, available","Carbohydrate, declaration",Added sugar,Dietary fiber,"Fat, total",Fatty acid conversion factor (FCF),Alcohol,Ash,Dry matter,Water,Vitamin A,Retinol,beta-carotene,Vitamin D,Vitamin D3,D2 ergocalciferol,Vitamin D3 25-hydroxy,25-hydroxyergocalciferol,Vitamin E,alpha-tocopherol,gamma-tocopherol,delta-tocopherol,alpha-tokotrienol,Vitamin K1,Vitamin B1,thiamine,"Vitamin B2, Riboflavin",Niacin Equivalent,Niacin,Vitamin B6,Pantothenic,Biotin,Folate,"Folate, free",B12,C Vitamin,L-ascorbic acid,L-dehydroascorbic,"Sulfur, S","Chloride, Cl","Sodium, Na","Potassium, K","Calcium, Ca","Magnesium, Mg","Phosphorus, P","Iron, Fe","Copper, Cu","Zinc, Zn",Iodine In,"Manganese, Mn","Chromium, Cr","Selenium, Se","Molybdenum, Mo","Cobalt, Co.","Nickel, Ni","Fluoron, F","Silicon, Si","Rubidium, Rb","Aluminum, Al","Boron, B","Bromine, Br",Mercury Hg,"Arsenic, As",Arsen inorganic,"Cadmium, Cd","Lead, Pb","Tin, Sn",L-lactic acid,D-lactic acid,"Lactic acid, total",Citric acid,Oxalic acid,Malic acid,Benzoic acid,"Organic acids, tot.",Histamine,Tyramine,Phenylethylamine,Putrescin,Cadaverine,Spermine,Spermidine,Serotonin,Fructose,Galactose,Glucose,"Monosaccharides, total",Lactose,Maltose,Sucrose,Disaccharides total,Raffinose,Other sugars,"Sugars, total",Sorbitol,Inositol,Maltitol,"Sugar alcohols, total",Starch,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibers,Neutr.Det.Fibre (NDF),C4: 0,C6: 0,C8: 0,C10: 0,C12: 0,C13: 0,C14: 0,C15: 0,C16: 0,C17: 0,C18: 0,C20: 0,C21:0,C22: 0,C23:0,C24: 0,"Saturated F.A., other","C12:1,n-1",C14: 1 n-5,C15: 1,C16: 1 n-7,C17: 1 n-7,C18: 1 n-9,C18: 1 n-7,C20: 1 n-9,C20: 1 n-11,C22: 1 n-9,C22: 1 n-11,C24: 1 n-9,Other monounsaturated.,C18: 2 n-6,"C18: 2 conj-A, undifferentiated",C18: 3 n-3,C18: 3 n-6,"C18: 4, n-3",C20: 2 n-6,"C22:2,n-6","C22:4,n-6","C22:5,n-6",C20: 3 n-3,"C20: 4, n-3",C20: 3 n-6,"C20: 4, n-6","C20: 5, n-3","C22: 5, n-3","C22: 6, n-3",Other polyunsaturated,C14: 1 trans-9,C16: 1 trans,C18: 1 trans-n-9,C20: 1 trans,C22: 1 trans,"C18: 2, trans, undifferentiated",Other fatty acids,Sum saturated,Sum monounsaturated,Sum polyunsaturated,"Trans fatty acids, total","Fatty acids, total",Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valin,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Hydroxyproline,Serin,Density
342,Vegetable products,"Cabbage, red, canned, no sugar added",0,82,20,6.25,0.08,0.5,0.5,5.5,2.9,2.9,0,2.6,0.1,0.8,0,1.1,7.2,92.8,2.08,0,25,0,0,nv,nv,nv,0.07,0.07,nv,nv,nv,nv,0.065,nv,0.05,0.663,0.6,0.15,0.324,0.1,46,23,0,20,20,nv,nv,nv,300,100,39.3,6,29.3,0.83,0.025,0.55,0.1,0.083,2,0.3,10,nv,3,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,5,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.018,nv,0.001,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.002,nv,0.004,nv,nv,nv,nv,nv,nv,nv,0.038,nv,0.017,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.019,0.006,0.055,nv,0.08,0.017,0.038,0,14,15,15,4,0,9,6,6,4,22,21,8,25,42,119,10,18,nv,25,nv
343,Cakes,"Danish pastry, pretzel",0,1889,453,5.7,0.754,4.3,4.7,47.2,44.2,43.8,nv,3,28.1,0.945,0,1.1,80.7,19.3,nv,nv,nv,nv,nv,nv,nv,nv,1.1,1.1,nv,nv,0.25,nv,0.065,nv,0.06,0.691,0.55,0.045,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,296,94,33,12,102,0.4,nv,0.84,5.9,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0.052,0.027,0.294,nv,0.466,nv,6.204,0,1.795,0.148,nv,0,nv,0,nv,nv,0,nv,0.204,nv,12.862,0,nv,0.158,0,0,0,nv,3.51,nv,0.848,nv,0,0,nv,nv,nv,0,nv,0,nv,0,0,0,nv,nv,nv,nv,nv,nv,nv,0,8.986,13.224,4.358,nv,26.568,0.848,3.51,nv,204,332,121,75,74,219,98,136,41,226,219,98,166,264,1300,181,385,nv,219,nv
344,Liqueur wines,"Sherry, sweet",0,565,136,6.25,0.048,0.3,0.3,6.5,6.5,6.5,0,0,0,0.8,15.5,2.7,25,75,0,0,0,0,0,nv,nv,nv,0,0,nv,nv,nv,0,0,nv,0.01,0.07,0.07,0.008,nv,nv,0.1,0.1,0,0,0,nv,nv,nv,13,109,7,11,10,0.37,0.057,0.21,nv,0.023,3,0,nv,nv,13.5,nv,nv,nv,nv,nv,nv,0,0.99,nv,0.11,11,5.8,nv,nv,nv,nv,nv,nv,0.03,nv,0.01,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,6.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
348,Tropical or subtropical fruit,"Fig, dried",0,1234,292,6.25,0.528,3.3,3.3,72.2,62.9,54,0,9.3,0.9,0.8,0,1.9,78.3,21.7,6.67,0,80,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.085,nv,0.11,1.19,0.75,0.12,0.435,1,9,3,0,1.2,1.2,nv,nv,nv,87,1010,193,92,83.1,2.2,0.24,0.9,1.1,0.51,0.069,0,nv,nv,130,nv,nv,nv,nv,nv,nv,0.4,0,nv,1.5,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.01,nv,nv,nv,nv,nv,nv,1.2,24.3,nv,28.4,52.7,nv,nv,0.983,0.983,nv,nv,53.7,0.0667,nv,nv,0.0667,0.3,nv,nv,nv,nv,nv,nv,nv,nv,4.8,nv,0,0,0,0,0,nv,0.006,nv,0.126,nv,0.033,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.001,nv,0.182,nv,nv,0,0,nv,nv,nv,0.396,nv,0,nv,0,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,0.165,0.183,0.396,nv,0.744,0,0.396,0,100,137,129,26,52,79,137,100,26,129,74,47,201,789,312,111,211,nv,164,nv
350,Soft fruit,"Cranberry, raw",5,177,42,6.25,0.062,0.4,0.4,12.2,7.6,7.6,0,4.6,0.1,0.7,0,0.1,12.9,87.1,3,0,36,0,0,nv,nv,nv,1.6,1.6,nv,nv,nv,nv,0.012,nv,0.02,0.151,0.101,0.057,0.295,nv,1,nv,0,13.3,13.3,nv,nv,nv,2,85,8,6,13,0.25,0.061,0.1,0.15,0.36,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,1.2,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.091,nv,nv,0,33,53,39,3,3,36,32,28,3,45,56,18,49,186,149,48,31,nv,51,nv
351,Cakes,"Pastry, 'linse'",0,1852,443,5.7,0.976,5.6,6.1,50.7,49.4,48.9,20,1.3,24.5,0.93,0,1.1,81.9,18.1,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,1.12,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0.152,0.117,0.967,nv,0.558,nv,5.804,0,1.603,0,nv,0,nv,0,nv,nv,0,nv,0,nv,10.475,0,nv,0,0,0,0,nv,2.529,nv,0.601,nv,0,0,nv,nv,nv,0,nv,0,nv,0,0,0,nv,nv,nv,nv,nv,nv,nv,0,9.201,10.475,3.13,nv,22.806,0.601,2.529,nv,293,459,264,127,107,312,146,205,67,332,273,137,244,400,1440,205,468,nv,351,nv
352,Snacks,"Pop corn, oil and salt added",0,2042,489,6.25,1.54,9.6,9.6,61.8,53.7,53.7,0,8.1,24.3,0.9,0,2.2,98,2,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.097,nv,0.07,2.46,1.43,0.2,0.28,6.1,43,nv,nv,71,71,nv,nv,703,400,182,9.6,nv,180,2.3,0.16,2.48,0,0.8,7,5,0,nv,39,nv,nv,nv,nv,nv,nv,0,nv,nv,1,8,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.003,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,21.9,nv,nv,0,354,1220,262,185,154,493,370,354,62,462,400,262,724,616,1990,354,862,nv,493,nv
356,Cakes,"Danish pastry, christmas cake",0,1908,458,5.7,0.912,5.2,5.7,41.1,38.1,37.6,nv,3,31,0.945,0,1.6,78.9,21.1,nv,nv,nv,nv,nv,nv,nv,nv,1.1,1.1,nv,nv,0.25,nv,0.065,nv,0.06,0.836,0.55,0.045,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,395,119,33,12,102,0.4,nv,0.84,5.9,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.157,0.523,1.715,nv,1.631,nv,5.081,nv,2.75,0.523,nv,0.397,nv,nv,nv,nv,nv,nv,1.035,nv,7.141,nv,nv,1.474,1.474,nv,nv,nv,4.684,nv,0.554,nv,nv,nv,nv,nv,nv,0.157,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,12.776,11.124,5.395,nv,29.295,0.711,4.684,nv,246,401,146,91,89,264,119,164,50,274,264,119,201,319,1570,219,465,nv,264,nv
358,Charcuterie,"Sausage, salami",0,1919,465,6.25,2.453,14.5,14.5,0,0,0,0,0,45.2,0.871,0,5.7,65.4,34.6,9,9,0,0.69,0,nv,0.138,nv,0.63,0.63,nv,nv,nv,0,0.38,nv,0.172,5.7,3.7,0.21,0.92,7,5.9,2,1.7,17,17,nv,nv,3060,1920,241,32.5,16.1,149,1.31,0.07,2.4,4.1,0.27,5.8,8.1,10,nv,3.5,nv,nv,nv,nv,nv,nv,0.26,2,nv,1,4.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,3.5,9.1,12.5,6.63,0.34,4.6,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,nv,0.647,nv,9.958,nv,5.338,0,nv,0,nv,0,nv,nv,0,nv,1.129,nv,17.452,nv,nv,0.339,nv,nv,nv,nv,4.106,nv,0.39,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,0,nv,nv,nv,0,nv,nv,nv,0,15.943,18.92,4.496,0,39.359,0.39,4.106,92,638,1060,1180,270,152,564,368,540,120,736,858,319,907,1250,1820,1200,834,nv,540,nv
359,Cakes,"Sponge cake, pound cake",0,1865,446,6.25,0.976,6.1,6.1,49.7,48.7,48.7,nv,1,25,0.955,0,1.1,81.9,18.1,nv,nv,nv,0.5,0.5,nv,nv,nv,2.4,2.4,nv,nv,nv,nv,0.045,nv,0.05,1.12,0.4,0.04,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,239,98,85,11.3,nv,0.4,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.129,0.421,1.392,nv,1.328,nv,4.149,nv,2.238,0.421,nv,0.325,nv,nv,nv,nv,nv,nv,0.843,nv,5.821,nv,nv,1.2,1.2,nv,nv,nv,3.827,nv,0.453,nv,nv,nv,nv,nv,nv,0.129,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,10.404,9.062,4.409,nv,23.875,0.582,3.827,nv,293,459,264,127,107,312,146,205,67,332,273,137,244,400,1440,205,468,nv,351,nv
364,Pome fruit,"Quinces, raw",39,254,60,6.25,0.064,0.4,0.4,15.3,13.4,13.4,0,1.9,0.1,0.7,0,0.4,16.2,83.8,2,0,24,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.02,nv,0.03,0.2,0.2,0.04,0.081,nv,nv,nv,0,15,15,nv,nv,nv,4,197,11,8,17,0.7,0.13,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,1.7,nv,0,0,0,0,0,nv,0,nv,0.005,nv,0.001,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,0.027,nv,nv,0,0,nv,nv,nv,0.036,nv,0,nv,0,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,0.007,0.027,0.036,nv,0.07,0,0.036,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
366,"""Fruit"" -Vegetables","Pumpkin, raw",37,75,18,6.25,0.096,0.6,0.6,4.2,3.1,3.3,0,1.1,0.1,0.8,0,0.5,5.4,94.6,3.75,0,45,0,0,nv,nv,nv,0.1,0.1,nv,nv,nv,nv,0.05,nv,0.02,0.357,0.2,0.05,0.4,0.4,36,5,0,5,5,nv,nv,nv,2,243,20.1,11.2,33,0.27,0.08,0.2,0.15,0.04,2,nv,2,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.01,nv,nv,nv,nv,nv,nv,nv,0.9,nv,1.1,2,nv,nv,0.7,0.7,nv,nv,2.7,nv,nv,nv,nv,0.6,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.027,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.002,nv,nv,nv,nv,nv,nv,nv,0.018,nv,0.033,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.027,0.002,0.051,nv,0.08,0.033,0.018,0,21,24,19,7,2,146,12,11,9,22,32,7,12,115,103,15,12,nv,37,nv
367,Dressings,"Salad dressing, blue cheese",0,2143,520,6.25,0.768,4.8,4.8,7.4,7.4,7.4,nv,0,52.3,0.956,0,3.2,67.7,32.3,66.3,65,16,nv,nv,nv,nv,nv,6,6,43,nv,nv,0,0.01,nv,0.1,1.26,0.1,0.037,0.388,nv,26,nv,0.27,2,2,nv,nv,nv,1090,37,81,0,74,0.2,nv,0.27,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.1,nv,0,0,0,0,0.102,nv,0.613,nv,6.646,nv,2.454,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.307,nv,12.065,nv,nv,0,0,nv,nv,nv,24.028,nv,3.783,nv,0,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,9.816,12.372,27.811,nv,49.999,3.783,24.028,17,253,430,415,131,24,246,292,177,70,346,161,169,146,323,1170,92,468,nv,253,nv
368,Root and tuber vegetables,"Radishes, oriental, daikon, Japanese radish, raw",21,69,17,6.25,0.096,0.6,0.6,4.2,2.6,2.6,0,1.6,0.1,0.92,0,0.6,5.5,94.5,0,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.02,nv,0.02,0.25,0.2,0.08,0.138,nv,28,nv,0,16.2,16.2,nv,nv,nv,21,227,27,16,23,0.4,0.115,0.15,nv,0.038,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.48,nv,nv,0.48,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.64,nv,0,0,0,0,0,nv,0,nv,0.026,nv,0.004,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,0.016,nv,nv,0,0,nv,nv,nv,0.016,nv,0.029,nv,0,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,0.03,0.016,0.045,nv,0.092,0.029,0.016,0,26,31,30,6,5,20,11,25,3,28,35,11,19,41,113,19,15,nv,18,nv
370,High-fat fruit and seeds,"Sesame seeds, whole",0,2497,605,5.3,3.695,19.6,23.1,17.3,4,1.4,0,13.3,53.8,0.891,0,5.1,95.7,4.3,0,0,0,0,0,0,0,0,nv,nv,18.5,nv,nv,2.82,0.752,nv,0.217,10.8,4.61,0.366,0.337,14.2,171,nv,0,0,0,nv,nv,nv,1.05,505,959,335,587,8.95,1.7,5.5,nv,1.7,12.5,19.5,141,nv,92.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,2.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.6,nv,0.6,nv,nv,0.6,0.6,nv,nv,1.2,nv,nv,nv,nv,0.22,9.9,2.1,1.3,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,0,nv,0,4.329,nv,2.752,0.31,0,nv,0,nv,nv,0,0,0,nv,nv,19.056,0.387,nv,0,0,0,0,nv,20.909,nv,0.169,0,0,nv,nv,0,0,0,nv,0,0,0,nv,0,nv,0,0,0,0,0,nv,nv,7.39,19.443,21.078,0,47.912,0.169,20.909,0,794,1480,638,669,432,993,783,801,372,1020,2770,539,1020,1910,4260,1110,774,0,1010,nv
371,Fruit products,"Olives, green, pickled, canned",42,554,134,6.25,0.16,1,1,7.4,5,5,0,2.4,11.7,0.95,0,4.1,24.2,75.8,19.3,0,231,0,0,nv,nv,nv,1.99,1.99,nv,nv,nv,nv,0.021,nv,0.007,0.072,0,0.02,0.018,0,nv,nv,0,0,0,nv,nv,nv,2220,38,120,16,8.94,0.49,0.23,nv,4.5,0.05,nv,0.9,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,0,nv,0,0,1.331,0,0.26,0.05,nv,0,nv,nv,nv,nv,0,0,0.12,0,8.054,nv,nv,0,0,nv,nv,nv,1.231,nv,0.07,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,1.641,8.174,1.301,nv,11.115,0.07,1.231,0,nv,nv,nv,nv,nv,nv,nv,nv,4,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
372,Spices,"Seaweed, agar, dried",0,1268,299,6.25,0.368,2.3,2.3,74.3,69.3,69.3,0,5,0.3,0.8,0,3.2,80.1,19.9,0,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,0,0,0,nv,nv,nv,nv,nv,nv,0,0,nv,nv,nv,4,29,690,nv,14,9,0.5,1,36000,nv,nv,0,nv,nv,200,nv,nv,nv,nv,nv,nv,1,5000,nv,50,25,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.24,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
375,Bread,"Crispbread, knackebrot, rye, coarse",0,1449,343,5.7,1.633,9.3,10.2,79.7,64.4,61,0,15.3,2,0.94,0,2.4,93.4,6.6,0.833,0,10,0,0,nv,nv,nv,0.8,0.8,nv,nv,nv,0,0.289,nv,0.125,1.99,1.4,0.245,nv,nv,66.7,nv,0,0,0,nv,140,670,429,479,38,93.3,304,2.66,0.352,2.59,2.3,3.6,7.1,2.3,20,6,25.1,100,15,480,2,140,300,0.5,0,nv,2.1,9.8,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.2,nv,0.4,0.6,nv,nv,1,1,nv,0,1.6,nv,nv,nv,nv,59.4,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,0.011,nv,0.342,nv,0.011,nv,nv,nv,nv,nv,0.021,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.342,0.986,nv,0.145,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,0.384,0.342,1.131,nv,1.856,0.145,0.986,0,376,653,408,160,149,457,245,359,119,555,539,245,457,702,2140,457,849,nv,457,nv
377,Pasta,"Macaroni, spaghetti, whole meal, raw",0,1486,352,5.7,2.298,13.1,14.4,73.1,63.5,62.2,0,9.6,2.9,0.69,0,1.6,90.7,9.3,0,0,0,0,0,nv,nv,nv,0.2,0.2,nv,nv,0.15,0,0.67,nv,0.11,2.37,1,0.043,nv,nv,53,nv,0,0,0,nv,nv,nv,5,490,34,nv,370,4,0.134,0.868,1.42,0.685,0,4.22,nv,nv,3.7,nv,nv,nv,nv,nv,nv,0,0,nv,3.17,1.25,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.377,nv,0.014,0.014,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.305,nv,nv,nv,nv,nv,nv,nv,1.204,nv,0.087,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.405,0.305,1.291,nv,2.001,0.087,1.204,nv,597,1010,299,214,200,735,253,368,142,666,529,322,460,620,4690,483,1700,nv,689,nv
379,Bread,"Rye bread, dark, wholemeal, imported",0,845,200,5.83,0.97,5.7,6.1,44.8,36.4,36,0,8.4,1.7,0.875,0,2.4,54.5,45.5,0,0,0,0,0,nv,nv,nv,0.2,0.2,nv,nv,0.3,0,nv,nv,nv,1.13,nv,0.161,0.6,nv,nv,nv,0,0,0,nv,nv,840,550,280,77,52,188,2.2,nv,nv,nv,nv,nv,nv,10,4,5.2,60,10,310,1.5,90,200,0.71,1.3,nv,nv,0.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.38,nv,0.52,0.9,0,2.27,0.61,2.88,nv,0,3.78,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,nv,0,nv,0.239,nv,0.027,0,nv,0.004,nv,nv,nv,nv,nv,nv,0.002,nv,0.331,0.026,nv,0.017,nv,nv,nv,nv,0.722,nv,0.119,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,0.271,0.376,0.841,0,1.488,0.119,0.722,0,233,398,204,92,87,272,116,204,68,330,262,136,291,398,1310,281,534,nv,272,nv
